sentence_id,product_name,price,rating,review,cleaned_review,aspect_sentiment_anotation,review_type,category
1,Girls Side Bags,Rs. 790,5,ganata marama vatinava..thank u daraz.,ගානට මාරම වටිනවා..තැනක් උ දරළ්.,"{
('ගානට', 'Price', ' මාරම වටිනවා', positive)
}",Sinhala_in_English,fashion
2,Girls Side Bags,Rs. 790,5,good harima lassanai gane hatiyata pauima na.. man gift ekak denna gaththe  eyata eka dunna photo ganna bari una baya nathuwa ganna puluwan..👍👍,ගූඩ් හරිම ලස්සනෛ ගැනේ හැටියට පෞඉම න.. මන් ගිෆ්ට් එකක් දෙන්න ගත්තේ  එයට එක දුන්න ෆොටෝ ගන්න බැරි උන බය නැතුව ගන්න පුළුවන්..👍👍,"{ (NULL, 'Appearance', 'හරිම ලස්සනෛ', positive), ('NULL', 'Ease of Use', 'බය නැතුව ගන්න පුළුවන්', positive), ('NULL', 'Overall Satisfaction', 'ගූඩ්', positive) }",Sinhala_in_English,fashion
3,Girls Side Bags,Rs. 790,5,හොඳයි. හයියට තියෙනවා. වැඩි කාලයක් පාවිච්චි කරන්න පුලුවන්.,හොඳයි. හයියට තියෙනවා. වැඩි කාලයක් පාවිච්චි කරන්න පුලුවන්.,"{
(NULL, 'Material Quality', 'හයියට තියෙනවා', positive),
(NULL, 'Durability', 'වැඩි කාලයක් පාවිච්චි කරන්න පුලුවන්', positive),
(NULL, 'Overall Satisfaction', 'හොඳයි', positive)
}",Pure_Sinhala,fashion
4,Girls Side Bags,Rs. 790,5,බෑග් එක හොදට ඉඩ තියෙනවා බය නැතුව ගන්න.👍👍👍,බෑග් එක හොදට ඉඩ තියෙනවා බය නැතුව ගන්න.👍👍👍,"{
(NULL, 'Ease of Use', 'බය නැතුව ගන්න', positive),
('බෑග් එක', 'Overall Satisfaction', 'හොදට ඉඩ තියෙනවා', positive)
}",Pure_Sinhala,fashion
5,Girls Side Bags,Rs. 790,5,ඉතා හොඳයි ...,ඉතා හොඳයි ...,"{
(NULL, 'Overall Satisfaction', 'ඉතා හොඳයි', positive)
}",Pure_Sinhala,fashion
6,Top Selling Women Messenger Bags Matching-all Leather Feeling PU Shoulder Bags Fashion Gift for Girls & Middle Aged Female,"Rs. 7,768",5,හරිම ලස්සනයි . ඒ වගේම delivery service excellent . thank you❤️ daraz & seller,හරිම ලස්සනයි . ඒ වගේම delivery service excellent . thank you❤️ daraz & seller,"{
(NULL, 'Appearance', 'හරිම ලස්සනයි', positive),
('delivery service', 'Delivery', ' excellent', positive)
}",Code_Mixed,fashion
7,Top Selling Women Messenger Bags Matching-all Leather Feeling PU Shoulder Bags Fashion Gift for Girls & Middle Aged Female,"Rs. 7,768",5,මේකනම් ගොඩක්ම හොඳ හෑන් බෑග් එකක් . ඔයාලත් අරගෙන බලන්න.,මේකනම් ගොඩක්ම හොඳ හෑන් බෑග් එකක් . ඔයාලත් අරගෙන බලන්න.,"{
('හෑන් බෑග් එකක්', 'Overall Satisfaction', 'ගොඩක්ම හොඳ', positive)
}",Pure_Sinhala,fashion
8,Top Selling Women Messenger Bags Matching-all Leather Feeling PU Shoulder Bags Fashion Gift for Girls & Middle Aged Female,"Rs. 7,768",1,කිසිම වැඩක් නෑ original photo එකෙ තියෙන එක නෙමෙයි එවලා තියෙන්නේ. Purse එකක් දාන්න වත් බෑ. රැවටෙන්න එපා මේවගේ දේවල් වලට.,කිසිම වැඩක් නෑ original photo එකෙ තියෙන එක නෙමෙයි එවලා තියෙන්නේ. Purse එකක් දාන්න වත් බෑ. රැවටෙන්න එපා මේවගේ දේවල් වලට.,"{
(NULL, 'Product-Image Consistency', 'original photo එකෙ තියෙන එක නෙමෙයි', negative),
(NULL, 'Ease of Use', 'Purse එකක් දාන්න වත් බෑ', negative),
(NULL, 'Overall Satisfaction', 'කිසිම වැඩක් නෑ', negative),
(NULL, 'Durability', 'රැවටෙන්න එපා මේවගේ දේවල් වලට', negative)
}",Pure_Sinhala,fashion
9,Top Selling Women Messenger Bags Matching-all Leather Feeling PU Shoulder Bags Fashion Gift for Girls & Middle Aged Female,"Rs. 7,768",5,ඇත්තටම හිතුවටත් වඩා ගොඩාක් හොදයි . thank u Daraz❤️ ගෙවන ගානට ගොඩාක් වටිනවා.,ඇත්තටම හිතුවටත් වඩා ගොඩාක් හොදයි . thank u Daraz❤️ ගෙවන ගානට ගොඩාක් වටිනවා.,"{
(NULL, 'Overall Satisfaction', 'ගොඩාක් හොදයි', positive),
(ගෙවන ගානට, 'Price', ' ගොඩාක් වටිනවා', positive)
}",Pure_Sinhala,fashion
10,Top Selling Women Messenger Bags Matching-all Leather Feeling PU Shoulder Bags Fashion Gift for Girls & Middle Aged Female,"Rs. 7,768",5,godakma podi...wadak nehe...return dala thiyenne ganna enneth nehe,ගොඩක්ම පොඩි...වැඩක් නෙහෙ...රෙටුර්න් දල තියෙන්නේ ගන්න එන්නෙත් නෙහෙ,"{
(NULL, 'Overall Satisfaction', 'වැඩක් නෙහෙ', negative),
(NULL, 'Delivery', 'ගන්න එන්නෙත් නෙහෙ', negative)
}",Sinhala_in_English,fashion
11,Top Selling Women Messenger Bags Matching-all Leather Feeling PU Shoulder Bags Fashion Gift for Girls & Middle Aged Female,"Rs. 7,768",5,ෆොටෝ එකේ තියනවා වගේම යි. ලස්සනයි.,ෆොටෝ එකේ තියනවා වගේම යි. ලස්සනයි.,"{
(NULL, 'Product-Image Consistency', 'ෆොටෝ එකේ තියනවා වගේම', positive),
(NULL, 'Appearance', 'ලස්සනයි', positive)
}",Pure_Sinhala,fashion
12,Top Selling Women Messenger Bags Matching-all Leather Feeling PU Shoulder Bags Fashion Gift for Girls & Middle Aged Female,"Rs. 7,768",5,supiri ...baya nathuwa ganna💪👍,සුපිරි ...බය නැතුව ගන්න💪👍,"{
(NULL, 'Overall Satisfaction', 'සුපිරි', positive),
(NULL, 'Ease of Use', 'බය නැතුව ගන්න', positive)
}",Sinhala_in_English,fashion
13,Top Selling Women Messenger Bags Matching-all Leather Feeling PU Shoulder Bags Fashion Gift for Girls & Middle Aged Female,"Rs. 7,768",5,ගොඩක් පොඩියි,ගොඩක් පොඩියි,"{
(NULL, 'Overall Satisfaction', 'ගොඩක් පොඩියි', negative)
}",Pure_Sinhala,fashion
14,Top Selling Women Messenger Bags Matching-all Leather Feeling PU Shoulder Bags Fashion Gift for Girls & Middle Aged Female,"Rs. 7,768",4,මෙක  නම්  ගොඩක්  හොදයි\n,මෙක  නම්  ගොඩක්  හොදයි\n,"{
('මෙක', 'Overall Satisfaction', 'ගොඩක් හොදයි', positive)
}",Pure_Sinhala,fashion
15,Top Selling Women Messenger Bags Matching-all Leather Feeling PU Shoulder Bags Fashion Gift for Girls & Middle Aged Female,"Rs. 7,768",5,hodatam hodaiii...ලස්සන 😍👍,hodatam hodaiii...ලස්සන 😍👍,"{
(NULL, 'Overall Satisfaction', 'hodatam hodaiii', positive),
(NULL, 'Appearance', 'ලස්සන', positive)
}",Pure_Sinhala,fashion
16,Top Selling Women Messenger Bags Matching-all Leather Feeling PU Shoulder Bags Fashion Gift for Girls & Middle Aged Female,"Rs. 7,768",1,bag එක  හොඳයි. ලස්සනයි. වටිනා  bag එකක්,bag එක  හොඳයි. ලස්සනයි. වටිනා  bag එකක්,"{
('bag එක', 'Overall Satisfaction', 'හොඳයි', positive),
(NULL, 'Appearance', 'ලස්සනයි', positive),
('bag එකක්', 'Value for Money', 'වටිනා', positive)
}",Pure_Sinhala,fashion
17,Women's Straw Woven Handbag Large Rattan Basket Beach Bag Summer Women Messenger Crossbody Bags Girls Small Beach Handbag New,"Rs. 7,308",5,බෑග් එක ගොඩාක් හොඳයි.  හොඳ quality එක්ක තියනවා.  හැබැයි මං select කරපු එක නෙමෙයි ආවේ. design එක පොඩ්ඩක් වෙනස්.   ඒත් ගැටළුවක් නෑ. ලස්සනයි.,බෑග් එක ගොඩාක් හොඳයි.  හොඳ quality එක්ක තියනවා.  හැබැයි මං select කරපු එක නෙමෙයි ආවේ. design එක පොඩ්ඩක් වෙනස්.   ඒත් ගැටළුවක් නෑ. ලස්සනයි.,"{
('බෑග් එක', 'Overall Satisfaction', 'ගොඩාක් හොඳයි', positive),
(NULL, 'Material Quality', 'හොඳ quality එක්ක තියනවා', positive),
(NULL, 'Product-Image Consistency', 'මං select කරපු එක නෙමෙයි ආවේ', negative),
(NULL, 'Design Aesthetic', 'design එක පොඩ්ඩක් වෙනස්', negative),
(NULL, 'Appearance', 'ලස්සනයි', positive)
}",Pure_Sinhala,fashion
18,Women's Straw Woven Handbag Large Rattan Basket Beach Bag Summer Women Messenger Crossbody Bags Girls Small Beach Handbag New,"Rs. 7,308",5,හිතුවට වැඩිය හරිම පොඩියි. But it so cute ❤️,හිතුවට වැඩිය හරිම පොඩියි. But it so cute ❤️,"{
(NULL, 'Overall Satisfaction', 'හිතුවට වැඩිය හරිම පොඩියි', negative),
(NULL, 'Appearance', 'so cute', positive)
}",Pure_Sinhala,fashion
19,Women's Straw Woven Handbag Large Rattan Basket Beach Bag Summer Women Messenger Crossbody Bags Girls Small Beach Handbag New,"Rs. 7,308",5,goodk hodai bag eka .ganat gdk watinwa 🥰,ගූද්ක් හොදි බග් එක .ගානට් ගදක් වටිනවා 🥰,"{
('බග් එක', 'Overall Satisfaction', 'ගූද්ක් හොදි', positive),
(NULL, 'Price', 'ගානට් ගදක් වටිනවා', positive)
}",Sinhala_in_English,fashion
20,Women's Straw Woven Handbag Large Rattan Basket Beach Bag Summer Women Messenger Crossbody Bags Girls Small Beach Handbag New,"Rs. 7,308",5,බෑග් එක හොදයි හැබැයි පොඩියි.....🥲,බෑග් එක හොදයි හැබැයි පොඩියි.....🥲,"{
('බෑග් එක', 'Overall Satisfaction', 'හොදයි', positive),
(NULL, 'Size Accuracy', 'පොඩියි', negative)
}",Pure_Sinhala,fashion
21,Women's Straw Woven Handbag Large Rattan Basket Beach Bag Summer Women Messenger Crossbody Bags Girls Small Beach Handbag New,"Rs. 7,308",5,lassanai hodata tibuna,ලස්සනෛ හොදට තිබුන,"{
(NULL, 'Appearance', 'ලස්සනෛ', positive),
(NULL, 'Overall Satisfaction', 'හොදට තිබුන', positive)
}",Sinhala_in_English,fashion
22,Women's Straw Woven Handbag Large Rattan Basket Beach Bag Summer Women Messenger Crossbody Bags Girls Small Beach Handbag New,"Rs. 7,308",5,හොඳ බැග් එකක් ලස්සනයි,හොඳ බැග් එකක් ලස්සනයි,"{
('බැග් එකක්', 'Overall Satisfaction', 'හොඳ', positive),
(NULL, 'Appearance', 'ලස්සනයි', positive)
}
",Pure_Sinhala,fashion
23,Women's Straw Woven Handbag Large Rattan Basket Beach Bag Summer Women Messenger Crossbody Bags Girls Small Beach Handbag New,"Rs. 7,308",5,ලස්සනයි එත් පොඩි,ලස්සනයි එත් පොඩි,"{
(NULL, 'Appearance', 'ලස්සනයි', positive),
(NULL, 'Size Accuracy', 'පොඩි', negative)
}
",Pure_Sinhala,fashion
24,Women's Straw Woven Handbag Large Rattan Basket Beach Bag Summer Women Messenger Crossbody Bags Girls Small Beach Handbag New,"Rs. 7,308",5,Hodaii,Hodaii,"{
(NULL, 'Overall Satisfaction', 'Hodaii', positive)
}",Sinhala_in_English,fashion
25,Cute Pumpkin Bag 2025 Autumn And Winter New Fashion Cloud Crossbody Bag Niche Design Sweet Girl Handbag,"Rs. 6,756",5,mara lassanai.🥰hbai chutie.hithuwt wd.,මර ලස්සනෛ.🥰හ්බි චුතිඑ.හිතුව්ට් වඩ්.,"{
(NULL, 'Appearance', 'මර ලස්සනෛ', positive),
(NULL, 'Size Accuracy', 'හ්බි චුතිඑ.හිතුව්ට් වඩ්', negative)
}",Sinhala_in_English,fashion
26,Cute Pumpkin Bag 2025 Autumn And Winter New Fashion Cloud Crossbody Bag Niche Design Sweet Girl Handbag,"Rs. 6,756",5,hithuwat wada beg ek hodyi,හිතුවට් වැඩ බෙග් එක හොදයි,"{
('බෙග් එක', 'Overall Satisfaction', 'හිතුවට් වැඩ හොදයි', positive)
}",Sinhala_in_English,fashion
27,Waterproof Canvas Women Handbags Shoulder Bag Nylon Ladies Messenger Bag Oxford Crossbody Bags Tote Book Bags for Girls Satchels,"Rs. 12,246",5,හිතුවට වඩා ගොඩක් හොද product එකක්.. ඒ ගානට වටිනවා ඇත්තටම.. ලස්සනයි.. හරිම cute.. හිතුවට වඩා ඉක්මනට ලැබුනා. Best delivery service 👌🪻,හිතුවට වඩා ගොඩක් හොද product එකක්.. ඒ ගානට වටිනවා ඇත්තටම.. ලස්සනයි.. හරිම cute.. හිතුවට වඩා ඉක්මනට ලැබුනා. Best delivery service 👌🪻,"{
(NULL, 'Overall Satisfaction', 'හිතුවට වඩා ගොඩක් හොද product එකක්', positive),
(NULL, 'Price', 'ඒ ගානට වටිනවා', positive),
(NULL, 'Appearance', 'ලස්සනයි', positive),
(NULL, 'Design Aesthetic', 'හරිම cute', positive),
(NULL, 'Delivery', 'හිතුවට වඩා ඉක්මනට ලැබුනා. Best delivery service', positive)
}",Pure_Sinhala,fashion
28,Waterproof Canvas Women Handbags Shoulder Bag Nylon Ladies Messenger Bag Oxford Crossbody Bags Tote Book Bags for Girls Satchels,"Rs. 12,246",5,Bag eke belt eka kadila 😕,බග් එකේ බෙල්ට් එක කැඩිලා 😕,"{
('බෙල්ට් එක', 'Closure Type & Quality', 'කැඩිලා', negative)
}",Sinhala_in_English,fashion
29,Waterproof Canvas Women Handbags Shoulder Bag Nylon Ladies Messenger Bag Oxford Crossbody Bags Tote Book Bags for Girls Satchels,"Rs. 12,246",1,vadak naaa thundas gank vatinnaaaa athule nkn redi tikak vitry bag eke patiya sathiyen vitr galavey kisima vatinakmak naa ee price ekt gnnepa kauruth,වැඩක් නාඅ තුන්දාස් ගානක් වතිආආ ඇතුලේ න්ක්න් රෙදි ටිකක් විතරය් බග් එකේ පටිය සතියෙන් විටර් ගලවෙය් කිසිම වටිනාකමක් නා ඊ ප්රිචේ එකට් ගන්නෙපා කුරුත්,"{
(NULL, 'Overall Satisfaction', 'වැඩක් නාඅ', negative),
(NULL, 'Price', 'තුන්දාස් ගානක් වතිආආ', negative),
(NULL, 'Material Quality', 'ඇතුලේ න්ක්න් රෙදි ටිකක් විතරය්', negative),
('බග් එකේ පටිය', 'Durability', 'සතියෙන් විටර් ගලවෙය්', negative),
(NULL, 'Value for Money', 'කිසිම වටිනාකමක් නා', negative)
}",Sinhala_in_English,fashion
30,Cartoon Print Fashion Women Shoulder Bag Cute Canvas Bag Girls Phone Purse Patchwork Color Crossbody Bag Female Shopping Handbag,"Rs. 2,612",5,"cute bag....😍😍😍mama godak asai me bag ekata..eka godak haiya athinuth niyama bag ekak thank u.,",චුටේ බග්....😍😍😍මම ගොඩක් ඇසි මේ බග් එකට..එක ගොඩක් හිය අතිනුත් නියම බග් එකක් තැනක් උ.,"{
(NULL, 'Appearance', 'චුටේ බග්', positive),
('බග් එකට', 'Overall Satisfaction', 'මම ගොඩක් ඇසි මේ බග් එකට', positive),
(NULL, 'Material Quality', 'ගොඩක් හිය අතිනුත්', positive),
(NULL, 'Design Aesthetic', 'නියම බග් එකක්', positive)
}",Sinhala_in_English,fashion
31,Cartoon Print Fashion Women Shoulder Bag Cute Canvas Bag Girls Phone Purse Patchwork Color Crossbody Bag Female Shopping Handbag,"Rs. 2,612",5,Wow!!! really really really like it 😭🔥🥺  price එකට වටිනවා අනේ 🥺💕 හරිම කියුට් ❤️,Wow!!! really really really like it 😭🔥🥺  price එකට වටිනවා අනේ 🥺💕 හරිම කියුට් ❤️,"{
(NULL, 'Overall Satisfaction', 'really really really like it', positive),
('price එකට', 'Price', 'වටිනවා', positive),
(NULL, 'Design Aesthetic', 'හරිම කියුට්', positive)
}",Code_Mixed,fashion
32,Cartoon Print Fashion Women Shoulder Bag Cute Canvas Bag Girls Phone Purse Patchwork Color Crossbody Bag Female Shopping Handbag,"Rs. 2,612",5,ඉක්මනටම ආව. Delivery partner ත් හොදයි. bag එක ලස්සනයි. thnq Daraz 🖤,ඉක්මනටම ආව. Delivery partner ත් හොදයි. bag එක ලස්සනයි. thnq Daraz 🖤,"{
('NULL', 'Delivery', 'ඉක්මනටම ආව', positive),
('Delivery partner ත්', 'Delivery', 'හොදයි', positive),
('bag එක', 'Appearance', 'ලස්සනයි', positive)
}
",Pure_Sinhala,fashion
33,Cartoon Print Fashion Women Shoulder Bag Cute Canvas Bag Girls Phone Purse Patchwork Color Crossbody Bag Female Shopping Handbag,"Rs. 2,612",5,හොදයි 😍  හිතුවට වඩා  පොඩී හැබැයි  😕  නමුත්  ගොඩක් ලස්සනයි ❤️,හොදයි 😍  හිතුවට වඩා  පොඩී හැබැයි  😕  නමුත්  ගොඩක් ලස්සනයි ❤️,"{
(NULL, 'Overall Satisfaction', 'හොදයි', positive),
(NULL, 'Size Accuracy', 'හිතුවට වඩා පොඩී', negative),
(NULL, 'Appearance', 'ගොඩක් ලස්සනයි', positive)
}",Pure_Sinhala,fashion
34,Cartoon Print Fashion Women Shoulder Bag Cute Canvas Bag Girls Phone Purse Patchwork Color Crossbody Bag Female Shopping Handbag,"Rs. 2,612",5,හරිම කොලිටි හැබැයි හිතුවට වඩා පොඩි,හරිම කොලිටි හැබැයි හිතුවට වඩා පොඩි,"{
(NULL, 'Material Quality', 'හරිම කොලිටි', positive),
(NULL, 'Size Accuracy', 'හිතුවට වඩා පොඩි', negative)
}",Pure_Sinhala,fashion
35,Cartoon Print Fashion Women Shoulder Bag Cute Canvas Bag Girls Phone Purse Patchwork Color Crossbody Bag Female Shopping Handbag,"Rs. 2,612",5,හොදයි...ගෙවන ගානටනන් වටිනවා...🤩🤍,හොදයි...ගෙවන ගානටනන් වටිනවා...🤩🤍,"{
(NULL, 'Overall Satisfaction', 'හොදයි', positive),
('ගානටනන්', 'Price / Value for Money', 'වටිනවා', positive)
}",Pure_Sinhala,fashion
36,Cartoon Print Fashion Women Shoulder Bag Cute Canvas Bag Girls Phone Purse Patchwork Color Crossbody Bag Female Shopping Handbag,"Rs. 2,612",4,Lassanai.e price ekata awlak na❤️,ලස්සනෛ.ඒ price එකට අව්ලක් න❤️,"{
(NULL, 'Appearance', 'ලස්සනෛ', positive),
('price එකට', 'Price / Value for Money', 'අව්ලක් න', positive)
}",Sinhala_in_English,fashion
37,Cartoon Print Fashion Women Shoulder Bag Cute Canvas Bag Girls Phone Purse Patchwork Color Crossbody Bag Female Shopping Handbag,"Rs. 2,612",5,හිතුවාට වඩා පොඩි.නමුත් හොදයි 👍,හිතුවාට වඩා පොඩි.නමුත් හොදයි 👍,"{
(NULL, 'Size Accuracy', 'හිතුවාට වඩා පොඩි', negative),
(NULL, 'Overall Satisfaction', 'හොදයි', positive)
}",Pure_Sinhala,fashion
38,Cartoon Print Fashion Women Shoulder Bag Cute Canvas Bag Girls Phone Purse Patchwork Color Crossbody Bag Female Shopping Handbag,"Rs. 2,612",5,ඒකනම්.මාර ලස්සනයි ✨,ඒකනම්.මාර ලස්සනයි ✨,"{
(NULL, 'Appearance', 'මාර ලස්සනයි', positive)
}",Pure_Sinhala,fashion
39,Cartoon Print Fashion Women Shoulder Bag Cute Canvas Bag Girls Phone Purse Patchwork Color Crossbody Bag Female Shopping Handbag,"Rs. 2,612",5,hodai,හොදි,"{
(NULL, 'Overall Satisfaction', 'හොදි', positive)
}",Sinhala_in_English,fashion
40,Cartoon Print Fashion Women Shoulder Bag Cute Canvas Bag Girls Phone Purse Patchwork Color Crossbody Bag Female Shopping Handbag,"Rs. 2,612",5,"wow eka harima cute, photo eke wagema lassanai, reddath hodai ,phone eka daganna puluwan, Thank you daraz❤️",වොව් එක හරිම චුටේ,"{
(NULL, 'Size Accuracy', 'හරිම චුටේ', negative)
}",Sinhala_in_English,fashion
41,Cartoon Print Fashion Women Shoulder Bag Cute Canvas Bag Girls Phone Purse Patchwork Color Crossbody Bag Female Shopping Handbag,"Rs. 2,612",5,"බෑග් එකේ සයිස් එක පොඩියි, මම හිතපු තරම් ලොකු නැහැ. ඇත්තටම දුකයි 🥲","බෑග් එකේ සයිස් එක පොඩියි, මම හිතපු තරම් ලොකු නැහැ. ඇත්තටම දුකයි 🥲","{
('බග් සිළෙ', 'Size Accuracy', 'එෂ්පෙර්ත පන්නි අලෙවුක්කු ඉල්ලා', negative)
}",Sinhala_in_English,fashion
42,Cartoon Print Fashion Women Shoulder Bag Cute Canvas Bag Girls Phone Purse Patchwork Color Crossbody Bag Female Shopping Handbag,"Rs. 2,612",5,bag eka 4to eke thibbat wada podi . awlk nh eth podi wadii,බග් එක 4තො එකේ තිබ්බට් වැඩ පොඩි . අව්ලක් න්හ් එත් පොඩි වදී,"{
(NULL, 'Product-Image Consistency', '4තො එකේ තිබ්බට් වැඩ පොඩි', negative),
(NULL, 'Overall Satisfaction', 'අව්ලක් න්හ්', positive),
(NULL, 'Size Accuracy', 'පොඩි වදී', negative)
}",Sinhala_in_English,fashion
43,Cartoon Print Fashion Women Shoulder Bag Cute Canvas Bag Girls Phone Purse Patchwork Color Crossbody Bag Female Shopping Handbag,"Rs. 2,612",5,"bag eka godak podi, phone ekk wage daagena yanna puluwn",බග් එක ගොඩක් පොඩි,"{
(NULL, 'Size Accuracy', 'ගොඩක් පොඩි', negative)
}",Sinhala_in_English,fashion
44,Cartoon Print Fashion Women Shoulder Bag Cute Canvas Bag Girls Phone Purse Patchwork Color Crossbody Bag Female Shopping Handbag,"Rs. 2,612",5,බෑග් එක ගොඩක් පොඩියි. ඒ ගානට ඒක වටින්නේ නැහැ.,බෑග් එක ගොඩක් පොඩියි. ඒ ගානට ඒක වටින්නේ නැහැ.,"{
('NULL', 'Size Accuracy', 'ගොඩක් පොඩියි', negative),
('ගානට', 'Price / Value for Money', 'වටින්නේ නැහැ', negative)
}",Sinhala_in_English,fashion
45,Cartoon Print Fashion Women Shoulder Bag Cute Canvas Bag Girls Phone Purse Patchwork Color Crossbody Bag Female Shopping Handbag,"Rs. 2,612",5,"මේ බෑග් එක නම් වැඩක් නැහැ ගොඩක්ම පොඩි ,","මේ බෑග් එක නම් වැඩක් නැහැ ගොඩක්ම පොඩි ,","{
(NULL, 'Overall Satisfaction', 'වැඩක් නැහැ', negative),
(NULL, 'Size Accuracy', 'ගොඩක්ම පොඩි', negative)
}",Pure_Sinhala,fashion
46,Cartoon Print Fashion Women Shoulder Bag Cute Canvas Bag Girls Phone Purse Patchwork Color Crossbody Bag Female Shopping Handbag,"Rs. 2,612",5,podi..eth maara cue..me ganata watinwaa,පොඩි..එත් මාර කුඑ..මේ ගානට වටිනවා,"{
(NULL, 'Size Accuracy', 'පොඩි', negative),
(NULL, 'Appearance', 'මාර කුඑ', positive),
('මේ ගානට', 'Price / Value for Money', 'වටිනවා', positive)
}",Sinhala_in_English,fashion
47,Cartoon Print Fashion Women Shoulder Bag Cute Canvas Bag Girls Phone Purse Patchwork Color Crossbody Bag Female Shopping Handbag,"Rs. 2,612",5,e ganata paduwk ne lassni harima,ඒ ගානට පාඩුවක් නේ ලස්ස්නි හරිම,"{
('ඒ ගානට', 'Price / Value for Money', 'පාඩුවක් නේ', positive),
(NULL, 'Appearance', 'ලස්ස්නි හරිම', positive)
}",Sinhala_in_English,fashion
48,Cartoon Print Fashion Women Shoulder Bag Cute Canvas Bag Girls Phone Purse Patchwork Color Crossbody Bag Female Shopping Handbag,"Rs. 2,612",5,"godak podiy bag eka.,.lassanai",ගොඩක් පොදිය් බග් එක.,"{
(NULL, 'Size Accuracy', 'ගොඩක් පොදිය්', negative)
}",Sinhala_in_English,fashion
49,Cartoon Print Fashion Women Shoulder Bag Cute Canvas Bag Girls Phone Purse Patchwork Color Crossbody Bag Female Shopping Handbag,"Rs. 2,612",5,Hithuwata wada podi eth cute💕,හිතුවට වැඩ පොඩි එත් චුටේ💕,"{
(NULL, 'Size Accuracy', 'හිතුවට වැඩ පොඩි', negative),
(NULL, 'Appearance', 'චුටේ', positive)
}",Sinhala_in_English,fashion
50,Cartoon Print Fashion Women Shoulder Bag Cute Canvas Bag Girls Phone Purse Patchwork Color Crossbody Bag Female Shopping Handbag,"Rs. 2,612",5,e ganata awlak na,ඒ ගානට අව්ලක් න,"{
('ඒ ගානට', 'Price / Value for Money', 'අව්ලක් න', positive)
}",Sinhala_in_English,fashion
